id,No.,Document Type
225,1914,Order
224,1913,Order
223,1912,Order
222,1911,Order
221,1910,Order
220,1909,Order
219,1908,Order
218,1907,Order
217,1906,Order
216,1905,Order
215,1904,Order
214,1903,Order
213,1902,Order
212,1901,Order
211,1900,Order
210,1899,Order
209,1898,Order
208,1897,Order
207,1896,Order
206,1895,Order
205,1894,Order
204,1893,Order
203,1892,Order
202,1891,Order
201,1890,Order
200,1889,Order
199,1888,Order
198,1887,Order
197,1886,Order
196,1885,Order
194,1883,Order
193,1882,Order
192,1881,Order
191,1880,Order
190,1879,Order
189,1878,Order
188,1877,Order
187,1876,Order
186,1875,Order
185,1874,Order
184,1873,Order
183,1872,Order
182,1871,Order
181,1870,Order
180,1869,Order
179,1868,Order
178,1867,Order
177,1866,Order
176,1865,Order
175,1864,Order
174,1863,Order
173,1862,Order
172,1861,Order
171,1860,Order
170,1859,Order
169,1858,Order
168,1857,Order
167,1856,Order
166,1855,Order
165,1854,Order
164,1853,Order
163,1852,Order
162,1851,Order
161,1850,Order
160,1849,Order
159,1848,Order
158,1847,Order
157,1846,Order
156,1845,Order
155,1844,Order
154,1843,Order
152,1841,Order
151,1731,Order
150,1625 - Macon,Order
149,1625 - Columbus,Order
148,1837,Order
147,1836,Order
146,1835,Order
145,1834,Order
144,1711 - Appliances Etc,Order
143,1711 - Northside - Dexter Live,Order
142,1711 - Northside - equipment,Order
141,1830,Order
140,1711 - Noxubee,Order
139,1732,Order
138,1728 - Georgian Hills,Order
137,1826,Order
136,1729,Order
135,1824,Order
134,1728 - Splish Splash,Order
133,1704,Order
131,1820,Order
130,1819,Order
129,1818,Order
128,1817,Order
127,1816,Order
126,1815,Order
125,1814,Order
124,1813,Order
123,1812,Order
122,1657,Order
121,1810,Order
120,1616,Order
119,1653,Order
118,1656,Order
117,1658,Order
116,1192964850,Order
115,1620,Order
114,1616,Order
113,1802,Order
112,1801,Order
111,1800,Order
110,P00009,Order
109,1798,Order
108,1797,Order
107,1796,Order
106,1638 - Columbus Laundromat,Order
105,1794,Order
104,23313,Order
103,23312,Order
102,1638 - Macon,Order
101,1790,Order
100,1789,Order
99,1637,Order
98,1631,Order
97,1786,Order
96,1785,Order
95,1781,Order
93,1782,Order
91,1780,Order
90,1779,Order
89,1652 - Homestead Assisted Living,Order
88,1618 - Homestead,Order
87,1652 - Pet Hospital,Order
86,1618 - Pet Hospital,Order
85,1774,Order
84,1593 - Cloverleaf,Order
83,1592 - Cloverleaf,Order
82,1654,Order
81,1590 (1 of 2),Order
80,1655,Order
79,1768,Order
78,1604,Order
77,1591,Order
76,1590 (2 of 2),Order
70,1759,Order
69,1652 - LTCW,Order
68,1618 / 1934,Order
67,1593,Order
66,1592 - Wheeler's,Order
65,1635,Order
64,1753,Order
63,1582 - stock,Order
62,1605,Order
61,1600,Order
59,1749,Order
58,1583,Order
57,1482/1582 - Wash Tub,Order
56,1691,Order
55,1625 - stock,Order
54,1331 / 1424,Order
53,1322/ 1448,Order
52,1742,Order
51,1700,Order
50,1740,Order
49,1739,Order
48,1738,Order
47,1737,Order
46,1736,Order
45,1735,Order
44,1734,Order
42,1732,Order
41,1731,Order
40,1730,Order
39,1729,Order
38,1728,Order
33,1723,Order
32,1722,Order
31,1721,Order
30,1720,Order
29,1719,Order
21,1711,Order
20,1710,Order
14,1704,Order
9,test,Order
8,P00008,Order
7,P00007,Order
6,P00006,Order
5,P00005,Order
4,P00004,Order
1,P00001,Order
