Document No.,Report Date,Journal,Account,Exp. Date,As of: 11/18/2022,1 - 30,31 - 60,61 - 90,91 - 120,Older,Total,Customer Name,Amount
LS10309,09/11/2021,SS,Accounts Receivable (A/R),,,,,,,58.02,,FCC YAZOO CITY,58.02
LS10308,09/11/2021,SS,Accounts Receivable (A/R),,,,,,,197.5,,FCC YAZOO CITY - LOW,197.5
LS10312,09/12/2021,SS,Accounts Receivable (A/R),,,,,,,81.9,,FCC YAZOO CITY - LOW,81.9
BNK3/2021/02/0102,02/12/2021,BNK3,Accounts Receivable (A/R),,,,,,,-114.51,,FLUFF AND FOLD,-114.51
BNK3/2021/01/0110,01/19/2021,BNK3,Accounts Receivable (A/R),,,,,,,-35.32,,FOREST CREEK APARTMENTS,-35.32
LS11857,09/14/2022,SS,Accounts Receivable (A/R),,,,,186.0,,,,FOREST HIGH SCHOOL,186.0
LS12028,10/22/2022,SS,Accounts Receivable (A/R),,,386.59,,,,,,FOREST HIGH SCHOOL,386.59
LS12251,12/07/2022,SS,Accounts Receivable (A/R),,6977.47,,,,,,,FOSTERS COIN LAUNDRY - Brookhaven,6977.47
LS10454,10/23/2021,SS,Accounts Receivable (A/R),,,,,,,261.88,,Family C RV Park,261.88
LS11959,10/06/2022,SS,Accounts Receivable (A/R),,,,113.81,,,,,"Filler Up Coin Laundry, LLC",113.81
LS11504,05/19/2022,SS,Accounts Receivable (A/R),,,,,,,3277.14,,Forest Royale,3277.14
LS11504,05/19/2022,SS,Accounts Receivable (A/R),,,,,,,3277.14,,Forest Royale,3277.14
LS10172,07/15/2021,SS,Accounts Receivable (A/R),,,,,,,230.05,,G STORE & LAUNDRY,230.05
LS12111,11/09/2022,SS,Accounts Receivable (A/R),,,341.7,,,,,,GATEWAY RESCUE MISSION,341.7
LS12256,12/09/2022,SS,Accounts Receivable (A/R),,265.0,,,,,,,GATEWAY RESCUE MISSION,265.0
LS10067,06/21/2021,SS,Accounts Receivable (A/R),,,,,,,32.96,,GCHC - GREENBOUGH HEALTH AND REHABILITATION CENTER,32.96
LS12191,11/25/2022,SS,Accounts Receivable (A/R),,360.39,,,,,,,GEE'S GROCERY,360.39
INV/2020/03/0043,03/09/2020,INV,Accounts Receivable (A/R),,,,,,,0.45,,GEORGIAN HILLS COIN LAUNDRY - MEMPHIS,0.45
LS9565,03/18/2021,SS,Accounts Receivable (A/R),,,,,,,3.38,,GEORGIAN HILLS COIN LAUNDRY - MEMPHIS,3.38
LS10386,10/07/2021,SS,Accounts Receivable (A/R),,,,,,,238.15,,GEORGIAN HILLS COIN LAUNDRY - MEMPHIS,238.15
LS10622,11/25/2021,SS,Accounts Receivable (A/R),,,,,,,137.19,,GEORGIAN HILLS COIN LAUNDRY - MEMPHIS,137.19
LS12155,10/19/2022,SS,Accounts Receivable (A/R),,,28.41,,,,,,GEORGIAN HILLS COIN LAUNDRY - MEMPHIS,28.41
LS12171,11/23/2022,SS,Accounts Receivable (A/R),,27.28,,,,,,,GEORGIAN HILLS COIN LAUNDRY - MEMPHIS,27.28
LS12196,11/26/2022,SS,Accounts Receivable (A/R),,338.12,,,,,,,GRAND GULF MILITARY PARK,338.12
LS12178,11/23/2022,SS,Accounts Receivable (A/R),,335.32,,,,,,,GREENE COUNTY HEALTH & REHAB - Leakesville,335.32
LS12285,12/17/2022,SS,Accounts Receivable (A/R),,262.71,,,,,,,GREENE COUNTY HEALTH & REHAB - Leakesville,262.71
LS12283,12/17/2022,SS,Accounts Receivable (A/R),,355.41,,,,,,,GREENE COUNTY HEALTH & REHAB - Leakesville,355.41
LS11258,04/22/2022,SS,Accounts Receivable (A/R),,,,,,,54.4,,"GRIF-CO, LLC",54.4
LS11559,07/08/2022,SS,Accounts Receivable (A/R),,,,,,,84.44,,"GRIF-CO, LLC - North Cleveland Ave",84.44
LS12090,10/04/2022,SS,Accounts Receivable (A/R),,,,258.96,,,,,"GRIF-CO, LLC - North Cleveland Ave",258.96
LS10213,08/25/2021,SS,Accounts Receivable (A/R),,,,,,,536.32,,"GRIF-CO, LLC - Sherwood",536.32
LS10741,12/18/2021,SS,Accounts Receivable (A/R),,,,,,,497.56,,"GRIF-CO, LLC - Sherwood",497.56
LS11121,03/23/2022,SS,Accounts Receivable (A/R),,,,,,,75.59,,"GRIF-CO, LLC - Sherwood",75.59
LS11196,04/03/2022,SS,Accounts Receivable (A/R),,,,,,,97.72,,"GRIF-CO, LLC - Sherwood",97.72
LS11208,04/08/2022,SS,Accounts Receivable (A/R),,,,,,,847.78,,"GRIF-CO, LLC - Sherwood",847.78
LS11967,09/07/2022,SS,Accounts Receivable (A/R),,,,,20.2,,,,"GRIF-CO, LLC - Sherwood",20.2
LS12000,10/14/2022,SS,Accounts Receivable (A/R),,,,172.11,,,,,"GRIF-CO, LLC - Sherwood",172.11
LS11720,08/17/2022,SS,Accounts Receivable (A/R),,,,,,2793.45,,,"GRIF-CO, LLC - Stone Street Jacksonville",2793.45
LS12092,10/04/2022,SS,Accounts Receivable (A/R),,,,34.95,,,,,"GRIF-CO, LLC - Stone Street Jacksonville",34.95
LS10066,06/21/2021,SS,Accounts Receivable (A/R),,,,,,,617.48,,"GRIF-CO, LLC: Beebe Laundry",617.48
LS12091,10/04/2022,SS,Accounts Receivable (A/R),,,,114.96,,,,,"GRIF-CO, LLC: Beebe Laundry",114.96
LS12118,11/11/2022,SS,Accounts Receivable (A/R),,,121898.82,,,,,,"GRIF-CO, LLC: Beebe Laundry",121898.82
LS12189,11/25/2022,SS,Accounts Receivable (A/R),,220.1,,,,,,,"GRIF-CO, LLC: Beebe Laundry",220.1
LS12188,11/25/2022,SS,Accounts Receivable (A/R),,194.45,,,,,,,"GRIF-CO, LLC: Beebe Laundry",194.45
LS12199,11/26/2022,SS,Accounts Receivable (A/R),,286.42,,,,,,,"GRIF-CO, LLC: Beebe Laundry",286.42
LS11942,10/01/2022,SS,Accounts Receivable (A/R),,,,172.71,,,,,"GRIF-CO, LLC: RACE AVE",172.71
LS12117,11/11/2022,SS,Accounts Receivable (A/R),,,200937.74,,,,,,"GRIF-CO, LLC: WYNNE AR",200937.74
LS12261,11/09/2022,SS,Accounts Receivable (A/R),,,95.19,,,,,,"GRIF-CO, LLC:Grif-Co West Memphis",95.19
LS12200,11/27/2022,SS,Accounts Receivable (A/R),,717.75,,,,,,,GULF SHORES RV RESORT,717.75
LS12263,12/10/2022,SS,Accounts Receivable (A/R),,717.75,,,,,,,GULF SHORES RV RESORT,717.75
ANET/2021/07/0001,07/02/2021,ANET,Accounts Receivable (A/R),,,,,,,-149.8,,George's Catering,-149.8
LS9331,02/21/2021,SS,Accounts Receivable (A/R),,,,,,,255.87,,"Grif-Co, LLC",255.87
LS9404,03/07/2021,SS,Accounts Receivable (A/R),,,,,,,267.87,,"Grif-Co, LLC",267.87
LS11335,05/12/2022,SS,Accounts Receivable (A/R),,,,,,,310.82,,"Grif-Co, LLC",310.82
LS11372,05/21/2022,SS,Accounts Receivable (A/R),,,,,,,153.13,,"Grif-Co, LLC",153.13
LS11744,08/20/2022,SS,Accounts Receivable (A/R),,,,,54.45,,,,"Grif-Co, LLC",54.45
LS11856,09/14/2022,SS,Accounts Receivable (A/R),,,,,107.18,,,,"Grif-Co, LLC",107.18
LS12246,11/04/2022,SS,Accounts Receivable (A/R),,,259.82,,,,,,"Grif-Co, LLC",259.82
LS12289,12/18/2022,SS,Accounts Receivable (A/R),,396.09,,,,,,,"Grif-Co, LLC",396.09
INV/2020/12/0095,12/29/2020,INV,Accounts Receivable (A/R),,,,,,,5.02,,HALLMARK CLEANERS-RIDGEWOOD,5.02
LS12161,11/19/2022,SS,Accounts Receivable (A/R),,838.54,,,,,,,HAMPTON INN - CLEVELAND,838.54
LS10160,07/14/2021,SS,Accounts Receivable (A/R),,,,,,,312.29,,HAMPTON INN - GREENVILLE,312.29
ANET/2021/06/0024,06/22/2021,ANET,Accounts Receivable (A/R),,,,,,,-43.87,,HAMPTON INN AND SUITES WEST POINT,-43.87
INV/2020/07/0055,07/07/2020,INV,Accounts Receivable (A/R),,,,,,,6.43,,HAMPTON INN HERNANDO,6.43
BNK3/2021/11/171,11/22/2021,BNK3,Accounts Receivable (A/R),,,,,,,-26.96,,HAMPTON INN OF RIDGELAND,-26.96
LS12107,11/06/2022,SS,Accounts Receivable (A/R),,,461.94,,,,,,HARLOW'S CASINO RESORT,461.94
LS12162,11/19/2022,SS,Accounts Receivable (A/R),,408.74,,,,,,,HARLOW'S CASINO RESORT,408.74
LS12249,12/04/2022,SS,Accounts Receivable (A/R),,478.29,,,,,,,HARLOW'S CASINO RESORT,478.29
LS9429,02/10/2021,SS,Accounts Receivable (A/R),,,,,,,356.69,,HENRY'S CLEANERS & LAUNDRY,356.69
LS10806,01/02/2022,SS,Accounts Receivable (A/R),,,,,,,417.3,,HENRY'S CLEANERS & LAUNDRY,417.3
LS11006,02/26/2022,SS,Accounts Receivable (A/R),,,,,,,292.77,,HENRY'S CLEANERS & LAUNDRY,292.77
LS11111,03/20/2022,SS,Accounts Receivable (A/R),,,,,,,391.46,,HENRY'S CLEANERS & LAUNDRY,391.46
LS12021,10/21/2022,SS,Accounts Receivable (A/R),,,283.55,,,,,,HIGHLAND HOME,283.55
LS12127,11/12/2022,SS,Accounts Receivable (A/R),,,514.73,,,,,,HIGHLAND HOME,514.73
LS11824,09/08/2022,SS,Accounts Receivable (A/R),,,,,264.0,,,,HILTON GARDEN INN - Mobile,264.0
LS11985,10/12/2022,SS,Accounts Receivable (A/R),,,,318.33,,,,,HILTON GARDEN INN- MADISON,318.33
LS12203,11/27/2022,SS,Accounts Receivable (A/R),,320.52,,,,,,,HILTON GARDEN INN- MADISON,320.52
LS11913,09/30/2022,SS,Accounts Receivable (A/R),,,,628.63,,,,,HILTON GARDEN INN- STARKVILLE,628.63
LS11999,10/14/2022,SS,Accounts Receivable (A/R),,,,6627.79,,,,,HILTON GARDEN INN- STARKVILLE,6627.79
LS12099,11/05/2022,SS,Accounts Receivable (A/R),,,524.3,,,,,,HILTON GARDEN INN- STARKVILLE,524.3
LS12151,11/18/2022,SS,Accounts Receivable (A/R),,747.22,,,,,,,HILTON GARDEN INN- STARKVILLE,747.22
BNK3/2020/12/0007,12/30/2020,BNK3,Accounts Receivable (A/R),,,,,,,-26.75,,HILTON GARDEN INN-FLOWOOD,-26.75
LS12280,12/15/2022,SS,Accounts Receivable (A/R),,367.0,,,,,,,HILTON GARDEN INN-FLOWOOD,367.0
LS12134,10/17/2022,SS,Accounts Receivable (A/R),,,,424.64,,,,,HILTON JACKSON,424.64
INV/2020/04/0063,04/24/2020,INV,Accounts Receivable (A/R),,,,,,,177.5,,HINDS COMMUNITY COLLEGE ATHLETIC DEPARTMENT,177.5
LS12045,10/26/2022,SS,Accounts Receivable (A/R),,,117.79,,,,,,HOLIDAY INN - PEARL,117.79
LS12101,10/26/2022,SS,Accounts Receivable (A/R),,,628.63,,,,,,HOLIDAY INN EXP-COLUMBUS (Route),628.63
LS12102,11/05/2022,SS,Accounts Receivable (A/R),,,728.97,,,,,,HOLIDAY INN EXP-COLUMBUS (Route),728.97
LS12128,11/12/2022,SS,Accounts Receivable (A/R),,,286.2,,,,,,HOLIDAY INN EXPRESS & SUITES- JACKSON,286.2
LS12232,12/02/2022,SS,Accounts Receivable (A/R),,1879.6,,,,,,,HOLIDAY INN EXPRESS - Brookhaven,1879.6
LS10846,01/14/2022,SS,Accounts Receivable (A/R),,,,,,,481.5,,HOLIDAY INN EXPRESS - CLEVELAND #890703,481.5
INV/2020/07/0008,07/27/2020,INV,Accounts Receivable (A/R),,,,,,,1685.72,,HOLIDAY INN EXPRESS - LONG BEACH,1685.72
LS10051,06/18/2021,SS,Accounts Receivable (A/R),,,,,,,0.5,,HOLIDAY INN EXPRESS- GRENADA,0.5
LS12209,12/01/2022,SS,Accounts Receivable (A/R),,524.3,,,,,,,HOLIDAY INN EXPRESS- GRENADA,524.3
LS11925,09/16/2022,SS,Accounts Receivable (A/R),,,,,841.02,,,,HOLMES COUNTY LONG TERM CARE FORMERLY DURANT HEALTHCARE,841.02
LS12071,10/18/2022,SS,Accounts Receivable (A/R),,,,841.02,,,,,HOLMES COUNTY LONG TERM CARE FORMERLY DURANT HEALTHCARE,841.02
LS12219,11/16/2022,SS,Accounts Receivable (A/R),,,841.02,,,,,,HOLMES COUNTY LONG TERM CARE FORMERLY DURANT HEALTHCARE,841.02
INV/2020/06/0017,06/04/2020,INV,Accounts Receivable (A/R),,,,,,,241.0,,HOLMES-HUMPHREYS COUNTY CORRECTIONAL FACILITY,241.0
LS11610,07/24/2022,SS,Accounts Receivable (A/R),,,,,,2089.25,,,HOLMES-HUMPHREYS COUNTY CORRECTIONAL FACILITY,2089.25
LS12233,12/02/2022,SS,Accounts Receivable (A/R),,473.5,,,,,,,HOLMES-HUMPHREYS COUNTY CORRECTIONAL FACILITY,473.5
LS11968,10/08/2022,SS,Accounts Receivable (A/R),,,,283.55,,,,,HOME 2 SUITES PEARL (Route),283.55
LS11983,10/12/2022,SS,Accounts Receivable (A/R),,,,283.55,,,,,HOME 2 SUITES PEARL (Route),283.55
LS12046,10/26/2022,SS,Accounts Receivable (A/R),,,284.04,,,,,,HOME 2 SUITES PEARL (Route),284.04
LS12057,10/30/2022,SS,Accounts Receivable (A/R),,,242.1,,,,,,HOME 2 SUITES PEARL (Route),242.1
LS11056,03/05/2022,SS,Accounts Receivable (A/R),,,,,,,158.0,,HOMEWOOD SUITES FONDREN (Route),158.0
LS11635,07/31/2022,SS,Accounts Receivable (A/R),,,,,,199.64,,,HOMEWOOD SUITES FONDREN (Route),199.64
RSS/2020/11/0001,11/13/2020,SS,Accounts Receivable (A/R),,,,,,,-219.5,,HOMEWOOD SUITES MEMPHIS,-219.5
INV/2020/11/0064,11/04/2020,INV,Accounts Receivable (A/R),,,,,,,407.68,,HOUSTON'S CLEANERS,407.68
INV/2020/12/0066,12/16/2020,INV,Accounts Receivable (A/R),,,,,,,13.98,,HOUSTON'S CLEANERS,13.98
LS11946,10/01/2022,SS,Accounts Receivable (A/R),,,,593.85,,,,,HYATT PLACE COLUMBUS,593.85
LS12025,10/21/2022,SS,Accounts Receivable (A/R),,,559.08,,,,,,HYATT PLACE COLUMBUS,559.08
LS12055,10/29/2022,SS,Accounts Receivable (A/R),,,1076.83,,,,,,HYATT PLACE COLUMBUS,1076.83
LS12103,11/05/2022,SS,Accounts Receivable (A/R),,,597.37,,,,,,HYATT PLACE COLUMBUS,597.37
Paid cc 6/126,07/06/2021,BNK3,Accounts Receivable (A/R),,,,,,,-530.11,,Haven Nursing Center,-530.11
INV/2020/04/0052,04/22/2020,INV,Accounts Receivable (A/R),,,,,,,492.2,,Hays Coin & Laundry,492.2
LS12278,12/11/2022,SS,Accounts Receivable (A/R),,55256.8,,,,,,,Hinds County Board of Supervisors - Raymond Detention Center,55256.8
INV/2020/01/0011,01/03/2020,INV,Accounts Receivable (A/R),,,,,,,99.35,,Holiday Inn Express Greenville,99.35
LS10564,11/13/2021,SS,Accounts Receivable (A/R),,,,,,,230.05,,Holiday Inn Express and Suites Natchez,230.05
LS10799,12/31/2021,SS,Accounts Receivable (A/R),,,,,,,372.71,,Holiday Inn Express and Suites Natchez,372.71
LS12062,11/02/2022,SS,Accounts Receivable (A/R),,,3799.74,,,,,,Holiday Inn--Lucedale,3799.74
LS11752,08/25/2022,SS,Accounts Receivable (A/R),,,,,1627.1,,,,Home 2 Suites-Mobile (Route),1627.1
LS12265,12/10/2022,SS,Accounts Receivable (A/R),,419.1,,,,,,,Home 2 Suites-Mobile (Route),419.1
LS11578,07/14/2022,SS,Accounts Receivable (A/R),,,,,,,363.0,,Homewood Suites Mobile AL (Route),363.0
LS11804,09/01/2022,SS,Accounts Receivable (A/R),,,,,11730.4,,,,Homewood Suites Mobile AL (Route),11730.4
LS10264,08/03/2021,SS,Accounts Receivable (A/R),,,,,,,244.15,,Homewood Suites--Covington LA,244.15
BOA/2022/09/0240,09/28/2022,BOA,Accounts Receivable (A/R),,,,-10525.5,,,,,Hunnington Terrace Apartments,-10525.5
LS11974,10/08/2022,SS,Accounts Receivable (A/R),,,,842.05,,,,,Hunnington Terrace Apartments,842.05
LS11729,08/18/2022,SS,Accounts Receivable (A/R),,,,,,226.8,,,IMPERIAL SUITES - Jackson,226.8
INV/2020/09/0069,09/17/2020,INV,Accounts Receivable (A/R),,,,,,,191.7,,INTOWN SUITES - JACKSON,191.7
LS9660,04/06/2021,SS,Accounts Receivable (A/R),,,,,,,149.8,,InTown Suites - GULFPORT,149.8
LS10573,10/15/2021,SS,Accounts Receivable (A/R),,,,,,,149.8,,InTown Suites - GULFPORT,149.8
LS11765,08/26/2022,SS,Accounts Receivable (A/R),,,,,503.62,,,,JACKSON STATE UNIVERSITY,503.62
LS11828,09/09/2022,SS,Accounts Receivable (A/R),,,,,218.96,,,,JACKSON STATE UNIVERSITY,218.96
LS11827,09/09/2022,SS,Accounts Receivable (A/R),,,,,2061.7,,,,JACKSON STATE UNIVERSITY,2061.7
LS12004,10/15/2022,SS,Accounts Receivable (A/R),,,,785.0,,,,,JACKSON STATE UNIVERSITY,785.0
LS12063,11/02/2022,SS,Accounts Receivable (A/R),,,33.97,,,,,,JASPER GENERAL HOSPITAL,33.97
LS12275,12/11/2022,SS,Accounts Receivable (A/R),,413.5,,,,,,,JASPER GENERAL HOSPITAL,413.5
LS10569,11/14/2021,SS,Accounts Receivable (A/R),,,,,,,5600.0,,KEYWAY - PEARL COIN LAUNDRY,5600.0
LS11091,03/18/2022,SS,Accounts Receivable (A/R),,,,,,,257.14,,KEYWAY - PEARL COIN LAUNDRY,257.14
LS11126,03/24/2022,SS,Accounts Receivable (A/R),,,,,,,26.23,,KEYWAY - PEARL COIN LAUNDRY,26.23
LS11346,05/14/2022,SS,Accounts Receivable (A/R),,,,,,,636.27,,KEYWAY - VICKSBURG COIN LAUNDRY #2 IOWA BLVD,636.27
LS12287,12/17/2022,SS,Accounts Receivable (A/R),,211.33,,,,,,,KEYWAY - VICKSBURG COIN LAUNDRY #2 IOWA BLVD,211.33
LS12142,11/17/2022,SS,Accounts Receivable (A/R),,,347.6,,,,,,KNOLLWOOD POINTE,347.6
LS11899,09/25/2022,SS,Accounts Receivable (A/R),,,,286.2,,,,,Keyway - BEASLEY COIN LLC,286.2
LS12175,11/23/2022,SS,Accounts Receivable (A/R),,126.58,,,,,,,Keyway - BYRAM COIN LAUNDRY,126.58
LS12056,09/30/2022,SS,Accounts Receivable (A/R),,,,1263.78,,,,,Keyway - CLINTON COIN LAUNDRY,1263.78
INV/2020/08/0109,08/14/2020,INV,Accounts Receivable (A/R),,,,,,,205.2,,"Keyway - DANIEL LAKE COIN, LLC",205.2
INV/2020/10/0030,10/05/2020,INV,Accounts Receivable (A/R),,,,,,,36.13,,"Keyway - DANIEL LAKE COIN, LLC",36.13
LS10751,12/19/2021,SS,Accounts Receivable (A/R),,,,,,,263.5,,"Keyway - DANIEL LAKE COIN, LLC",263.5
LS11133,03/25/2022,SS,Accounts Receivable (A/R),,,,,,,15.86,,"Keyway - DANIEL LAKE COIN, LLC",15.86
LS11351,05/15/2022,SS,Accounts Receivable (A/R),,,,,,,1659.41,,"Keyway - DANIEL LAKE COIN, LLC",1659.41
LS11487,06/16/2022,SS,Accounts Receivable (A/R),,,,,,,671.65,,"Keyway - DANIEL LAKE COIN, LLC",671.65
LS11719,08/17/2022,SS,Accounts Receivable (A/R),,,,,,233.69,,,"Keyway - DANIEL LAKE COIN, LLC",233.69
LS12135,11/16/2022,SS,Accounts Receivable (A/R),,,135.31,,,,,,"Keyway - DANIEL LAKE COIN, LLC",135.31
LS12167,11/20/2022,SS,Accounts Receivable (A/R),,233.69,,,,,,,"Keyway - DANIEL LAKE COIN, LLC",233.69
LS11426,06/01/2022,SS,Accounts Receivable (A/R),,,,,,,110.47,,Keyway - DEDEAUX COIN GULFPORT,110.47
LS11261,04/22/2022,SS,Accounts Receivable (A/R),,,,,,,58.63,,Keyway - HAZLEHURST COIN,58.63
LS11260,04/22/2022,SS,Accounts Receivable (A/R),,,,,,,717.82,,Keyway - HAZLEHURST COIN,717.82
LS11324,05/08/2022,SS,Accounts Receivable (A/R),,,,,,,978.33,,Keyway - HAZLEHURST COIN,978.33
LS10738,12/17/2021,SS,Accounts Receivable (A/R),,,,,,,566.99,,Keyway - NORTHSIDE COIN LLC,566.99
LS11379,05/25/2022,SS,Accounts Receivable (A/R),,,,,,,620.82,,Keyway - NORTHSIDE COIN LLC,620.82
LS12268,12/10/2022,SS,Accounts Receivable (A/R),,640.6,,,,,,,Keyway - NORTHSIDE COIN LLC,640.6
LS12001,10/14/2022,SS,Accounts Receivable (A/R),,,,693.71,,,,,Keyway - Natchez Coin,693.71
BOA/2022/07/0149,07/19/2022,BOA,Accounts Receivable (A/R),,,,,,,-34.73,,Keyway - Vicksburg Coin,-34.73
LS11339,05/12/2022,SS,Accounts Receivable (A/R),,,,,,,289.28,,Kolb's Cleaners,289.28
LS11976,10/09/2022,SS,Accounts Receivable (A/R),,,,339.79,,,,,LA QUINTA INN & SUITES -BRANDON,339.79
LS12159,11/19/2022,SS,Accounts Receivable (A/R),,283.55,,,,,,,LA QUINTA INN & SUITES -BRANDON,283.55
LS12269,12/10/2022,SS,Accounts Receivable (A/R),,283.55,,,,,,,LA QUINTA INN & SUITES -BRANDON,283.55
LS9708,04/14/2021,SS,Accounts Receivable (A/R),,,,,,,151.2,,LA QUINTA INN - BEASLEY,151.2
LS10480,09/30/2021,SS,Accounts Receivable (A/R),,,,,,,146.65,,LAKEVIEW INN AND SUITES,146.65
LS11101,02/17/2022,SS,Accounts Receivable (A/R),,,,,,,255.26,,LARRY ROGERS COIN LAUNDRY,255.26
LS12153,10/19/2022,SS,Accounts Receivable (A/R),,,34.72,,,,,,"LAUNDRY TODAY, LLC (old - GULF PARK PLAZA)",34.72
LS12262,11/09/2022,SS,Accounts Receivable (A/R),,,628.58,,,,,,"LAUNDRY TODAY, LLC (old - GULF PARK PLAZA)",628.58
LS12211,12/01/2022,SS,Accounts Receivable (A/R),,66.59,,,,,,,"LAUNDRY TODAY, LLC (old - GULF PARK PLAZA)",66.59
LS12264,12/10/2022,SS,Accounts Receivable (A/R),,372.9,,,,,,,"LAUNDRY TODAY, LLC (old - GULF PARK PLAZA)",372.9
LS12208,11/01/2022,SS,Accounts Receivable (A/R),,,13983.09,,,,,,LAWRENCE COUNTY NURSING CTR,13983.09
LS12190,10/26/2022,SS,Accounts Receivable (A/R),,,1174.18,,,,,,LIVINGSTON LAUNDROMAT,1174.18
LS12154,11/18/2022,SS,Accounts Receivable (A/R),,131.83,,,,,,,LIVINGSTON LAUNDROMAT,131.83
LS12267,12/10/2022,SS,Accounts Receivable (A/R),,24185.85,,,,,,,LIVINGSTON LAUNDROMAT,24185.85
LS11173,01/16/2022,SS,Accounts Receivable (A/R),,,,,,,170.13,,LOUISVILLE Healthcare,170.13
LS11174,02/16/2022,SS,Accounts Receivable (A/R),,,,,,,28.62,,LOUISVILLE Healthcare,28.62
LS11175,03/16/2022,SS,Accounts Receivable (A/R),,,,,,,170.13,,LOUISVILLE Healthcare,170.13
LS11411,05/17/2022,SS,Accounts Receivable (A/R),,,,,,,170.13,,LOUISVILLE Healthcare,170.13
LS11654,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,170.13,,LOUISVILLE Healthcare,170.13
LS11923,09/16/2022,SS,Accounts Receivable (A/R),,,,,170.13,,,,LOUISVILLE Healthcare,170.13
LS12069,10/18/2022,SS,Accounts Receivable (A/R),,,,170.13,,,,,LOUISVILLE Healthcare,170.13
LS12217,11/16/2022,SS,Accounts Receivable (A/R),,,170.13,,,,,,LOUISVILLE Healthcare,170.13
LS12210,12/01/2022,SS,Accounts Receivable (A/R),,858.0,,,,,,,LOVE'S - Clanton AL,858.0
LS12138,11/17/2022,SS,Accounts Receivable (A/R),,,462.24,,,,,,LOVE'S TRUCK STOP-MCCOMB #0393,462.24
LS12166,11/20/2022,SS,Accounts Receivable (A/R),,364.44,,,,,,,LOVE'S TRUCK STOP-MCCOMB #0393,364.44
BNK3/2021/01/0223,01/27/2021,BNK3,Accounts Receivable (A/R),,,,,,,-31.4,,"LOVES COUNTRY STORE #720 - BOYCE, LA",-31.4
LS11888,09/23/2022,SS,Accounts Receivable (A/R),,,,964.81,,,,,"LOVES COUNTRY STORE #720 - BOYCE, LA",964.81
LS11940,10/01/2022,SS,Accounts Receivable (A/R),,,,555.46,,,,,"LOVES COUNTRY STORE #720 - BOYCE, LA",555.46
LS12015,10/20/2022,SS,Accounts Receivable (A/R),,,868.13,,,,,,"LOVES COUNTRY STORE #720 - BOYCE, LA",868.13
LS12129,11/13/2022,SS,Accounts Receivable (A/R),,,637.5,,,,,,LOVES LAKE MS,637.5
LS12260,12/09/2022,SS,Accounts Receivable (A/R),,1080.13,,,,,,,LOVES LAKE MS,1080.13
LS11873,09/18/2022,SS,Accounts Receivable (A/R),,,,,338.12,,,,LOVES OF POPLARVILLE,338.12
LS12195,11/26/2022,SS,Accounts Receivable (A/R),,350.45,,,,,,,LOVES OF POPLARVILLE,350.45
LS11498,06/18/2022,SS,Accounts Receivable (A/R),,,,,,,364.49,,LOVES TALLULAH #237,364.49
LS12273,12/11/2022,SS,Accounts Receivable (A/R),,535.62,,,,,,,LOVES TALLULAH #237,535.62
LS11273,03/28/2022,SS,Accounts Receivable (A/R),,,,,,,470.8,,"LOVES TRUCK STOP TOOMSUBA, MS #0343",470.8
LS11910,09/30/2022,SS,Accounts Receivable (A/R),,,,728.97,,,,,"LOVES TRUCK STOP TOOMSUBA, MS #0343",728.97
LS11971,10/08/2022,SS,Accounts Receivable (A/R),,,,647.35,,,,,"LOVES TRUCK STOP TOOMSUBA, MS #0343",647.35
LS12130,11/13/2022,SS,Accounts Receivable (A/R),,,496.52,,,,,,"LOVES TRUCK STOP TOOMSUBA, MS #0343",496.52
LS12184,11/25/2022,SS,Accounts Receivable (A/R),,1490.26,,,,,,,"LOVES TRUCK STOP TOOMSUBA, MS #0343",1490.26
LS11994,09/13/2022,SS,Accounts Receivable (A/R),,,,,1461.93,,,,LYRIC HOTEL,1461.93
LS11988,10/12/2022,SS,Accounts Receivable (A/R),,,,401.25,,,,,LYRIC HOTEL,401.25
LS12187,10/26/2022,SS,Accounts Receivable (A/R),,,35499.42,,,,,,Landmark Lifestyles of Tupelo,35499.42
LS11648,08/04/2022,SS,Accounts Receivable (A/R),,,,,,450.18,,,Liberty Community Living Center,450.18
LS12098,11/05/2022,SS,Accounts Receivable (A/R),,,408.74,,,,,,Liberty Community Living Center,408.74
LS12119,11/11/2022,SS,Accounts Receivable (A/R),,,305.55,,,,,,Liberty Community Living Center,305.55
LS11909,09/30/2022,SS,Accounts Receivable (A/R),,,,347.75,,,,,"Love's-0773 Eutaw, AL",347.75
LS12052,10/28/2022,SS,Accounts Receivable (A/R),,,389.53,,,,,,Loves Canton #0208,389.53
LS12125,11/12/2022,SS,Accounts Receivable (A/R),,,283.55,,,,,,Loves Canton #0208,283.55
LS12185,11/25/2022,SS,Accounts Receivable (A/R),,720.62,,,,,,,"Loves Store #806 - Monroe, LA",720.62
LS12207,11/30/2022,SS,Accounts Receivable (A/R),,328.64,,,,,,,"Loves Store #846 - Irvington, AL",328.64
LS11478,06/12/2022,SS,Accounts Receivable (A/R),,,,,,,353.1,,"Loves Store #848 - Sandersville, MS",353.1
LS12100,11/05/2022,SS,Accounts Receivable (A/R),,,578.63,,,,,,"Loves Store #848 - Sandersville, MS",578.63
INV/2020/11/0024,11/23/2020,INV,Accounts Receivable (A/R),,,,,,,1134.85,,Loyal Services Solutions,1134.85
